Reading data .................
Total tokens: 17005207
Vocabulary size: 71290
0.30 loss = 1.988, wps = 44510
0.40 loss = 1.991, wps = 44983
0.50 loss = 1.990, wps = 43998
0.60 loss = 1.990, wps = 44070
0.70 loss = 1.990, wps = 43932
0.80 loss = 1.987, wps = 44364
0.90 loss = 1.989, wps = 44352
Epoch: 5, Loss = 1.987, 
0.00 loss = 1.986, wps = 40899
0.10 loss = 1.977, wps = 45144
0.20 loss = 1.978, wps = 45202
0.30 loss = 1.968, wps = 44920
0.40 loss = 1.971, wps = 44169
0.50 loss = 1.971, wps = 44712
0.60 loss = 1.971, wps = 44710
0.70 loss = 1.971, wps = 44973
0.80 loss = 1.968, wps = 44520
0.90 loss = 1.970, wps = 44414
Epoch: 6, Loss = 1.969, 
0.00 loss = 1.981, wps = 25455
0.10 loss = 1.962, wps = 44613
0.20 loss = 1.963, wps = 44393
0.30 loss = 1.953, wps = 45049
0.40 loss = 1.956, wps = 44341
0.50 loss = 1.956, wps = 44982
0.60 loss = 1.956, wps = 44252
0.70 loss = 1.956, wps = 44499
0.80 loss = 1.954, wps = 44907
0.90 loss = 1.956, wps = 44883
Epoch: 7, Loss = 1.954, 
0.00 loss = 1.964, wps = 43375
0.10 loss = 1.949, wps = 44174
0.20 loss = 1.951, wps = 44351
0.30 loss = 1.941, wps = 45000
0.40 loss = 1.944, wps = 45232
0.50 loss = 1.944, wps = 44146
0.60 loss = 1.944, wps = 44075
0.70 loss = 1.944, wps = 44082
0.80 loss = 1.942, wps = 43861
0.90 loss = 1.944, wps = 45215
Epoch: 8, Loss = 1.943, 
0.00 loss = 1.956, wps = 37366
0.10 loss = 1.938, wps = 44200
0.20 loss = 1.940, wps = 44390
0.30 loss = 1.931, wps = 44287
0.40 loss = 1.935, wps = 44383
0.50 loss = 1.935, wps = 44264
0.60 loss = 1.934, wps = 47447
0.70 loss = 1.935, wps = 46905
0.80 loss = 1.933, wps = 44224
0.90 loss = 1.934, wps = 44209
Epoch: 9, Loss = 1.933, 
0.00 loss = 1.941, wps = 36753
0.10 loss = 1.931, wps = 44740
0.20 loss = 1.933, wps = 45964
0.30 loss = 1.923, wps = 47986
0.40 loss = 1.927, wps = 48245
0.50 loss = 1.927, wps = 48274
0.60 loss = 1.926, wps = 48225
0.70 loss = 1.927, wps = 48301
0.80 loss = 1.925, wps = 45323
0.90 loss = 1.926, wps = 45604
Epoch: 10, Loss = 1.925, 
0.00 loss = 1.933, wps = 25878
0.10 loss = 1.923, wps = 46571
0.20 loss = 1.925, wps = 44857
0.30 loss = 1.916, wps = 48367
0.40 loss = 1.919, wps = 48681
0.50 loss = 1.920, wps = 47688
0.60 loss = 1.919, wps = 47665
0.70 loss = 1.920, wps = 44599
0.80 loss = 1.918, wps = 44640
0.90 loss = 1.920, wps = 44914
Epoch: 11, Loss = 1.918, 
0.00 loss = 1.929, wps = 35550
0.10 loss = 1.918, wps = 44999
0.20 loss = 1.920, wps = 44957
0.30 loss = 1.910, wps = 44679
0.40 loss = 1.914, wps = 44790
0.50 loss = 1.914, wps = 44661
0.60 loss = 1.914, wps = 44465
0.70 loss = 1.914, wps = 44514
0.80 loss = 1.912, wps = 45309
0.90 loss = 1.914, wps = 44384
Epoch: 12, Loss = 1.912, 
0.00 loss = 1.917, wps = 34944
0.10 loss = 1.912, wps = 44444
0.20 loss = 1.914, wps = 44907
0.30 loss = 1.905, wps = 44460
0.40 loss = 1.908, wps = 46110
0.50 loss = 1.908, wps = 46588
0.60 loss = 1.908, wps = 44689
0.70 loss = 1.909, wps = 44737
0.80 loss = 1.907, wps = 45508
0.90 loss = 1.909, wps = 44596
Epoch: 13, Loss = 1.907, 
0.00 loss = 1.922, wps = 34771
0.10 loss = 1.908, wps = 44635
0.20 loss = 1.910, wps = 44789
0.30 loss = 1.901, wps = 44599
0.40 loss = 1.904, wps = 44488
0.50 loss = 1.904, wps = 44518
0.60 loss = 1.904, wps = 44500
0.70 loss = 1.904, wps = 44356
0.80 loss = 1.902, wps = 44591
0.90 loss = 1.904, wps = 44998
Epoch: 14, Loss = 1.903, 
0.00 loss = 1.924, wps = 41548
0.10 loss = 1.904, wps = 45188
0.20 loss = 1.906, wps = 44739
0.30 loss = 1.897, wps = 44613
0.40 loss = 1.900, wps = 44221
0.50 loss = 1.901, wps = 44632
0.60 loss = 1.900, wps = 44120
0.70 loss = 1.901, wps = 44390
0.80 loss = 1.899, wps = 44708
0.90 loss = 1.901, wps = 46887
Epoch: 15, Loss = 1.899, 
0.00 loss = 1.916, wps = 38725
0.10 loss = 1.901, wps = 44064
0.20 loss = 1.903, wps = 44641
0.30 loss = 1.894, wps = 44110
0.40 loss = 1.897, wps = 44421
0.50 loss = 1.897, wps = 44182
0.60 loss = 1.897, wps = 44673
0.70 loss = 1.898, wps = 45078
0.80 loss = 1.896, wps = 44557
0.90 loss = 1.897, wps = 44497
Epoch: 16, Loss = 1.896, 
0.00 loss = 1.913, wps = 38817
0.10 loss = 1.898, wps = 44411
0.20 loss = 1.900, wps = 44645
0.30 loss = 1.891, wps = 44279
0.40 loss = 1.894, wps = 44940
0.50 loss = 1.894, wps = 44731
0.60 loss = 1.894, wps = 44090
0.70 loss = 1.895, wps = 44237
0.80 loss = 1.893, wps = 44180
0.90 loss = 1.894, wps = 44046
Epoch: 17, Loss = 1.893, 
0.00 loss = 1.912, wps = 41618
0.10 loss = 1.896, wps = 44418
0.20 loss = 1.898, wps = 44910
0.30 loss = 1.888, wps = 44227
0.40 loss = 1.892, wps = 44024
0.50 loss = 1.892, wps = 44342
0.60 loss = 1.891, wps = 44291
0.70 loss = 1.892, wps = 44130
0.80 loss = 1.890, wps = 44485
0.90 loss = 1.892, wps = 44690
Epoch: 18, Loss = 1.891, 
0.00 loss = 1.908, wps = 36539
0.10 loss = 1.892, wps = 44414
0.20 loss = 1.895, wps = 44541
0.30 loss = 1.886, wps = 44387
0.40 loss = 1.889, wps = 44216
0.50 loss = 1.889, wps = 44501
0.60 loss = 1.889, wps = 44509
0.70 loss = 1.890, wps = 44372
0.80 loss = 1.888, wps = 44419
0.90 loss = 1.889, wps = 46872
Epoch: 19, Loss = 1.888, 
0.00 loss = 1.910, wps = 39164
0.10 loss = 1.891, wps = 44304
0.20 loss = 1.893, wps = 46926
0.30 loss = 1.884, wps = 44653
0.40 loss = 1.887, wps = 44407
0.50 loss = 1.888, wps = 44352
0.60 loss = 1.887, wps = 44426
0.70 loss = 1.888, wps = 44452
0.80 loss = 1.886, wps = 44293
0.90 loss = 1.887, wps = 44187
Epoch: 20, Loss = 1.886, 
0.00 loss = 1.905, wps = 25547
0.10 loss = 1.889, wps = 44210
0.20 loss = 1.891, wps = 44776
0.30 loss = 1.882, wps = 44296
0.40 loss = 1.886, wps = 44478
0.50 loss = 1.886, wps = 44408
0.60 loss = 1.885, wps = 44544
0.70 loss = 1.886, wps = 44384
0.80 loss = 1.884, wps = 44785
0.90 loss = 1.886, wps = 44432
Epoch: 21, Loss = 1.885, 
0.00 loss = 1.907, wps = 41619
0.10 loss = 1.887, wps = 44308
0.20 loss = 1.890, wps = 44219
0.30 loss = 1.881, wps = 43961
0.40 loss = 1.884, wps = 44626
0.50 loss = 1.884, wps = 44467
0.60 loss = 1.884, wps = 44896
0.70 loss = 1.885, wps = 44660
0.80 loss = 1.883, wps = 44703
0.90 loss = 1.884, wps = 44709
Epoch: 22, Loss = 1.883, 
0.00 loss = 1.901, wps = 39015
0.10 loss = 1.886, wps = 44679
0.20 loss = 1.888, wps = 44690
0.30 loss = 1.880, wps = 44545
0.40 loss = 1.883, wps = 44705
0.50 loss = 1.883, wps = 46006
